UNITID,ADM_RATE,TUITIONFEE_IN,MD_EARN_WNE_P10
190725,0.5259,26940,42800
190761,0.7544,27438,46300
190956,0.4286,10345,43700
190983,0.8216,41900,45900
191126,0.4041,5335,48900
191205,0.6132,19380,34400
191241,0.4522,49073,59200
191515,0.2608,51240,60200
191533,0.8654,42860,45800
191621,0.8113,21300,42600
191630,0.5799,51559,53500
191649,0.6222,42160,53100
191676,0.7933,30336,37400
191931,0.9146,36584,56100
191968,0.6992,41776,52300
192004,0.8133,12600,26100
192110,0.0617,41310,32800
192192,0.77,29451,43800
192271,0.9346,25725,46000
192323,0.6531,33030,49600
192439,0.875,36256,49000
192448,0.8148,36256,49000
192509,0.6306,14475,19500
192703,0.7137,40004,65000
192712,0.4627,44600,32300
192749,0.774,36920,45600
192785,0.4435,14210,40400
192819,0.4099,35210,56900
192864,0.7816,30290,41400
192925,0.6923,27276,39400
192961,1,12674,54800
193016,0.7768,18392,39700
193292,0.7692,29100,60500
193308,0.531,14460,30300
193353,0.8989,29048,51600
193399,0.9265,35130,54400
193584,0.721,32649,44300
193645,0.4373,34960,33900
193654,0.6009,45440,44500
193900,0.3187,49062,61900
193973,0.8288,30950,42800
194091,0.7255,35160,55100
194116,0.3478,22710,52200
194161,0.9978,24850,41300
194310,0.8368,42772,60300
194392,0.8208,27103,35300
194499,0.297,12450,23500
194569,0.525,16400,31900
194578,0.5765,48154,43400
194824,0.4435,50797,82000
194958,0.6472,29540,40900
195003,0.5493,38568,62400
195030,0.3553,50142,61200
195128,0.5763,28805,44800
195164,0.659,32331,47700
195173,0.6414,25300,45700
195191,0.6,19360,60300
195216,0.4288,51200,50100
195234,0.8353,30692,43800
195243,0.7916,29600,46900
195289,0.75,13331,50800
195304,0.5179,52550,43000
195474,0.7261,34611,57100
195526,0.2908,50834,49700
195544,0.6678,25114,50400
195702,0.3333,15570,59100
195720,0.6454,31880,47800
195809,0.6336,39460,55200
196006,0.7199,8075,41800
196015,0.8257,7881,35700
196024,0.5135,7875,37200
196033,0.7818,7929,35000
196042,0.5802,7860,51700
196051,0.7735,8023,35200
196060,0.5439,9223,51500
196079,0.4062,9271,61600
196088,0.5938,9574,52600
196097,0.4067,8999,57600
196103,0.5421,8103,45600
196112,0.6431,7777,51000
196121,0.5533,7928,42600
196130,0.6407,7701,39800
196149,0.5217,8106,47000
196158,0.6235,8089,41700
196167,0.6685,8176,48800
196176,0.4294,7754,45000
196185,0.5284,7932,43400
196194,0.5452,7961,43900
196200,0.7178,7964,39700
196219,0.4351,8298,35200
196237,0.686,7683,44300
196246,0.5103,7866,42400
196291,0.5804,7834,82800
196413,0.5232,45022,62100
196431,0.8298,9300,19900
196592,0.619,16880,30400
196653,0.5412,16770,37900
196866,0.369,51696,65400
197027,0.203,1167,88100
197045,0.8195,19996,45300
197133,0.2688,53090,54600
197142,0.8462,21080,28000
197151,0.7445,36500,41800
197197,0.7294,43980,56700
197230,0.9243,38530,35100
197285,0.9393,21015,37400
197708,0.5075,40670,58500
197735,0.9147,9300,14400
197869,0.6832,7136,38800
197911,0.4088,29052,38100
197984,0.9733,18500,38200
197993,0.9578,18513,30600
198066,0.4216,27790,31600
198109,1,12268,48600
198136,0.81,30050,45900
198215,0.4707,29333,39400
198303,0.5697,23930,34300
198385,0.2011,48376,58900
198419,0.1083,51265,84400
198464,0.7034,6997,40500
198507,0.5715,4889,30400
198516,0.6044,33104,51900
198543,0.5927,5085,31200
198561,0.5188,29810,38700
198598,0.3625,28000,36900
198613,0.6052,34090,36400
198695,0.7908,33405,39000
198747,0.3939,11230,33900
198756,0.453,18236,28400
198808,0.6303,25648,33200
198835,0.7011,33730,38500
198862,0.4778,17764,23400
198871,0.7482,18007,26900
198899,0.5674,30534,31500
198950,0.6079,34907,39500
198969,0.5479,31980,39300
199032,0.6137,24940,37000
199069,0.4766,19000,39500
199102,0.5364,6372,34700
199111,0.7593,6977,34500
199120,0.2694,8834,55600
199139,0.6203,6763,44000
199148,0.7393,6971,37500
199157,0.6669,6132,32900
199184,0.5442,9139,35500
199193,0.4751,8880,52500
199209,0.6157,29150,38600
199218,0.7175,6951,41600
199272,0.6284,27080,36000
199281,0.7356,5816,34400
199306,0.4414,28995,39200
199412,0.8275,32560,42200
199458,0.4606,13600,30800
199582,0.7271,17890,27300
199607,0.5684,27406,36300
199643,0.4887,16580,29200
199698,0.5622,25874,37200
199847,0.3034,49308,63800
199865,0.8196,33970,25600
199962,0.6956,29170,43200
199999,0.6326,5804,33200
200004,0.4069,6737,37700
200059,0.9171,6348,41700
200156,0.5731,20480,43800
200217,0.7701,17445,48000
200226,0.5521,6254,39300
200253,0.5981,6568,41200
200280,0.8369,8136,48700
200332,0.928,8327,48200
200484,0.5935,15912,27000
200572,0.9812,7196,39300
200624,0.6923,23341,35700
200785,0.9259,13390,37800
200800,0.9592,10270,36500
201061,0.3054,29752,25800
201104,0.7247,20392,40400
201177,0.7447,17370,60500
201195,0.5973,30776,44400
201371,0.4953,30762,39000
201441,0.7605,11057,40500
201548,0.6923,33492,44000
201645,0.3544,46006,74600
201654,0.6906,28110,41300
201690,0.4201,6246,26100
201821,0.5667,15882,56200
201858,0.9241,16414,32700
201885,0.7642,11000,42300
202046,0.6053,39585,36600
202073,0.4845,49106,40100
202134,0.8745,9768,41300
202170,0.756,32880,32200
202480,0.6035,40940,55100
202514,0.5818,31680,41000
202523,0.4361,48960,48800
202763,0.7298,32402,43200
202912,0.7069,15530,52600
203085,0.7931,29200,39300
203128,0.5418,33040,42700
203368,0.8299,38490,53800
203517,0.8536,10012,38000
203535,0.2658,51200,48700
203544,0.9921,11808,54500
203580,0.631,29960,36200
203757,0.8934,20620,36500
203775,0.7281,29422,41700
203845,0.6141,35330,45800
203960,0.5755,13430,51100
204024,0.6538,14736,47100
204176,0.7897,12673,57700
204185,0.7699,29120,42900
204194,0.7422,26950,43600
204200,0.8805,28300,41400
204264,0.7741,26928,39600
204468,0.9025,28300,42600
204501,0.2803,52002,40800
204617,0.5216,31080,41000
204635,0.6411,29820,63500
204796,0.5411,10037,46100
204857,0.7485,11744,40500
204893,0.9286,8348,49700
204909,0.7155,44090,45300
204936,0.7287,31874,43100
205054,0.8448,14611,29500
205391,0.6549,26181,31200
205443,0.7357,7365,34200
205957,0.7875,25680,37700
206048,0.7561,23125,42600
206084,0.9432,9547,43800
206330,0.9154,22452,35200
206349,0.8961,29940,47800
206394,0.9867,17980,27800
206437,0.7767,28720,43500
206491,0.3841,13250,34200
206507,0.8659,25000,40000
206525,0.7832,38090,43200
206589,0.5816,46860,46300
206604,0.9525,8730,39500
206613,0.9881,5842,39500
206622,0.6858,36150,51600
206695,0.6745,8317,35900
206817,0.5047,14850,34500
206835,0.728,25070,50900
206941,0.7503,6699,38800
207041,0.5777,6279,36800
207157,0.4545,13040,34500
207263,0.9375,6207,35800
207306,0.4377,6690,36400
207324,0.6082,20840,38500
207388,0.7452,8321,46500
207403,0.6011,25310,40500
207458,0.7215,30726,42800
207500,0.7084,10881,51100
207582,0.6846,25676,37600
207722,0.4885,7200,32000
207847,0.7733,6450,35800
207856,0.4111,13080,29300
207865,0.9083,6690,39300
207971,0.3696,41509,48500
208488,0.5476,29390,43300
208646,0.9703,8004,41200
208725,0.9737,14230,29500
208822,0.6376,33730,45100
209056,0.5495,46894,46200
209065,0.8075,40175,55200
209108,1,20835,35300
209287,0.7039,23680,34100
209409,0.6674,27930,43100
209506,0.7304,9625,56600
209533,0.5845,32130,25100
209542,0.7748,10366,49600
209551,0.7787,10761,44800
209603,0.9391,34500,27400
209612,0.788,41054,46600
209807,0.8942,8337,44700
209825,0.6132,44104,58800
209922,0.3131,52150,42200
210146,0.782,8523,39000
210304,0.9617,23370,41000
210331,0.3456,30640,37600
210401,0.7806,47217,51100
210429,0.8776,9285,39700
210571,0.5111,41544,46700
210669,0.6776,44250,50900
210739,0.7623,34850,49700
210775,0.745,32270,44500
211024,0.4312,22510,32000
211088,0.6327,40920,44100
211158,0.7756,10154,44500
211200,0.9014,15380,27300
211273,0.3994,48790,54600
211291,0.2992,51960,70800
211352,0.7106,30588,46600
211361,0.9646,10339,41600
211431,0.8635,27764,39700
211440,0.2171,52310,83600
211468,0.6647,36825,46700
211477,0.9855,17646,35300
211556,0.5275,35475,36600
211583,0.938,34140,43600
211644,0.9414,10287,37900
211981,0.6838,36750,42100
212009,0.4321,51205,57400
212054,0.7465,51030,68800
212106,0.7394,35062,58500
212115,0.8335,9968,44600
212133,0.6119,31140,42500
212160,0.9528,9984,35400
212197,0.7343,43490,51300
212568,0.5556,17775,66300
212577,0.3637,52290,58900
212601,0.7775,30042,48100
212656,0.7057,25680,38700
212674,0.4263,50860,56100
212832,0.9082,32480,54300
212911,0.214,51259,60700
212984,0.6849,29750,52700
212993,0.7857,19650,34500
213011,0.8189,35210,50600
213020,0.9154,11368,40800
213233,0.8884,18235,40500
213251,0.746,42170,49200
213303,0.9763,25798,33100
213321,0.709,34720,51000
213349,0.7977,9618,41600
213358,0.9227,27000,40400
213367,0.7684,41100,58000
213385,0.2829,49635,68600
213400,0.6739,21500,34300
213507,0.7606,40550,45800
213543,0.2611,48320,81900
213598,0.8714,11102,34600
213613,0.8784,10229,41500
213622,1,14912,49600
213668,0.6956,37162,45700
213774,0.8906,16550,38100
213783,0.8752,11908,38600
213826,0.6832,33000,39600
213987,0.7523,34580,40300
213996,0.7951,33180,45100
214023,1,12097,18100
214041,0.6948,11494,43500
214069,0.7444,30740,50400
214148,0.5714,38301,33300
214157,0.7745,40287,51100
214166,0.5858,21850,40800
214175,0.4825,48310,59400
214272,0.9374,28580,44300
214591,0.8785,14828,50100
214625,0.8257,13616,50100
214634,0.7222,13296,50100
214643,0.8279,13540,50100
214652,0.797,14072,50100
214670,0.8665,14134,50100
214689,0.8949,14828,50100
214698,0.8589,13678,50100
214704,0.8701,14828,50100
214713,0.8452,14828,50100
214731,0.8263,14134,50100
214740,0.8579,13616,50100
214759,0.801,13616,50100
214768,0.8194,14072,50100
214777,0.564,17900,50100
214786,0.8569,13666,50100
214795,0.7764,13678,50100
214801,0.8245,14172,50100
214810,0.7559,14072,50100
214829,0.8328,14134,50100
214892,0.878,25000,25700
214971,0.924,36058,20200
215053,0.4452,23800,28400
215062,0.0944,51464,85900
215099,0.6068,37950,51200
215105,0.7679,41464,32600
215114,0.9793,25246,34800
215132,0.5974,38850,91600
215266,0.526,13608,53900
215275,0.7493,13618,53900
215284,0.7426,13624,53900
215293,0.5541,18618,53900
215309,0.5026,11808,53900
215442,0.7086,29030,37100
215594,0.2273,9825,63800
215637,0.9734,23550,33000
215655,0.7984,28250,47700
215691,0.6909,19480,44700
215743,0.6736,33344,52200
215770,0.7793,43020,59600
215798,0.6587,33426,47600
215929,0.7455,42162,57500
215947,0.6087,33520,40200
215974,1,14912,55500
215992,0.7797,9744,19400
216010,0.8831,11452,45000
216038,0.6949,9862,41700
216083,0.942,16612,30200
216278,0.677,43720,54100
216287,0.128,49104,56700
216296,0.5753,7630,45600
216339,0.5219,16274,50500
216357,0.7423,29740,37600
216524,0.8242,49370,55200
216542,0.7871,20694,31100
216551,0.9445,29975,46600
216597,0.435,49280,77900
216667,0.4732,44900,54500
216694,0.9371,22800,45300
216764,0.6448,9720,48400
216773,0.3684,10191,50500
216807,0.7387,35210,43200
216852,0.6973,42870,53400
216931,0.7592,33568,51600
217013,0.5771,24430,33100
217059,0.6102,18780,50400
217156,0.0931,51366,67500
217165,0.6732,40962,69300
217235,0.884,30746,38800
217402,0.5503,46970,64100
217420,0.7469,8206,41400
217484,0.7276,12884,52900
217493,0.3412,47110,51100
217518,0.7926,32100,50500
217536,0.6836,37820,53500
217633,0.5392,25880,35200
217688,0.606,24140,36900
217776,0.5502,24110,39200
217819,0.8413,11805,40700
217864,0.8229,11734,56800
217873,0.4182,16158,28500
217882,0.5054,14708,52400
217907,0.5866,27624,32800
217925,0.3571,21490,29900
217934,0.8707,28900,34600
217961,0.6041,17000,33900
217998,0.7587,34560,37400
218061,0.6156,10428,33100
218070,0.6776,47164,51200
218229,0.6175,11200,34200
218238,0.4765,23900,37400
218414,0.5965,25600,36900
218441,0.5912,17594,34400
218539,0.5983,37142,44500
218645,0.6692,10196,37100
218654,0.6513,10166,36800
218663,0.6814,11454,44900
218672,0.6129,6702,44900
218681,0.6184,6702,26600
218690,0.6654,6702,34300
218706,0.713,6702,32800
218724,0.6118,10876,38500
218733,0.8623,10420,29800
218742,0.5463,11190,36900
218821,0.6519,16700,32900
218919,0.7903,12630,24500
218964,0.685,14810,35900
218973,0.7011,40245,51500
219000,0.6913,30944,43700
219046,0.7976,8004,35900
219082,0.8263,8927,38700
219091,0.7267,26050,37200
219198,0.6469,25380,36600
219259,0.8139,7887,35300
219295,0.9852,19090,34700
219347,0.845,11160,56500
219356,0.9076,8172,44400
219383,0.9149,27160,40100
219471,0.8813,8457,42000
219578,0.4041,21950,45900
219602,0.8886,7689,34900
219639,0.5361,11204,57000
219709,0.8104,31390,44100
219718,0.6652,15764,38600
219790,0.4179,24450,41300
219806,0.6329,26360,36000
219833,0.5224,30860,44200
219949,0.4891,21210,38700
219976,0.6085,29756,43200
220075,0.9164,8341,35100
220181,0.7846,21480,35000
220215,0.9633,21500,37100
220312,0.9442,15543,30300
220464,0.6842,11070,38800
220473,0.9646,13950,29800
220516,0.5141,27276,43500
220598,0.5027,10280,25400
220604,1,10880,28400
220613,0.8722,15770,34200
220631,0.502,21050,38200
220710,0.5779,33524,39000
220808,0.3918,31700,27100
220862,0.5668,9125,37400
220978,0.6861,8280,38700
221254,0.6903,28176,31800
221351,0.5432,44942,53600
221397,0.9957,4047,29500
221485,1,4059,25700
221519,0.4364,42400,45500
221731,0.6143,23000,38500
221740,0.7826,8544,38100
221759,0.7722,12724,45100
221768,0.667,9088,36200
221847,0.6721,8203,40500
221892,0.7227,24624,40500
221953,0.744,23125,38300
221971,0.6257,30330,43200
221999,0.1075,45610,69000
222178,0.5089,32070,43000
222831,0.7437,7047,40200
222983,0.5343,37315,48200
223232,0.3972,42006,51600
223472,0.625,14320,30100
224004,0.8347,29260,44500
224147,0.6465,8424,43400
224226,0.4311,26180,43200
224244,0.2267,17454,38900
224323,0.4476,37230,47400
224527,0.5093,24700,40500
224545,0.5599,6840,35900
224554,0.4614,7750,39300
225247,0.8799,25830,43300
225399,0.3456,30800,45800
225414,0.6471,6502,47900
225432,0.8288,5978,45000
225502,0.4809,7369,41800
225511,0.5854,9519,51600
225548,0.8772,26630,37600
225575,0.3648,14346,30800
225627,0.9187,28898,46500
225991,0.8214,16625,25300
226091,0.7618,8146,39500
226152,0.5298,7016,45800
226231,0.4419,28480,48200
226383,0.9531,21166,41800
226471,0.788,26550,44200
226587,0.4804,26275,41000
226833,0.7446,8620,41100
227216,0.7179,10153,45000
227331,0.5473,27160,39300
227368,0.6393,7438,41900
227429,0.319,8318,27700
227526,0.8548,10059,35700
227757,0.1527,43918,65400
227845,0.739,41178,46500
227863,0.7739,31520,49600
227881,0.7195,7762,44600
228042,0.9078,25750,40200
228149,0.7766,28200,46600
228246,0.4892,50358,60700
228325,0.2347,19560,35700
228343,0.4503,39060,54000
228431,0.6245,7716,41900
228459,0.7113,9605,45700
228468,0.4997,20276,41500
228501,0.9222,6419,37900
228529,0.5039,7140,42500
228705,0.8234,8049,42600
228723,0.6717,11036,58000
228769,0.6982,9616,48700
228778,0.4037,10092,58200
228787,0.6799,11192,53100
228796,0.9999,7548,40000
228802,0.6935,7602,44200
228875,0.3758,42670,52800
228981,0.4261,28910,45600
229018,0.8148,5774,46100
229027,0.7641,7700,45300
229063,0.5149,9000,31300
229115,0.626,8428,51400
229160,0.4116,26050,42000
229179,0.8588,7238,44700
229267,0.4066,39560,54900
229780,0.9984,15060,41300
229814,0.5997,7699,42700
230038,0.5118,5300,59700
230047,0.2708,5240,42200
230603,0.7228,6530,39800
230728,0.9025,7426,43200
230764,0.7642,8518,53000
230807,0.8409,32404,49800
230816,0.5995,50100,29500
230834,0.9532,11314,37900
230852,0.6995,38660,45400
230889,0.5625,15786,25400
230898,0.7855,37002,30300
230913,0.9509,11290,33200
230931,0.9834,11290,33400
230940,0.6623,40030,27600
230959,0.1614,50063,58200
230995,0.6998,37354,53700
231059,0.77,41975,50800
231077,0.5751,22650,36700
231086,0.6178,23975,34200
231165,0.879,14026,45000
231174,0.6894,17300,47300
231411,0.8833,13250,40800
231420,0.5666,31980,41800
231554,0.8481,24380,40900
231581,0.5275,32590,42500
231624,0.3652,21234,58500
231651,0.8103,16438,41600
231712,0.6216,13054,46900
232025,0.699,33700,40700
232043,0.6115,34200,40300
232089,0.7202,31915,37300
232186,0.8099,11300,59900
232256,0.556,42962,52200
232265,0.6482,24242,44700
232308,0.5988,36835,35400
232423,0.7213,10390,56600
232557,0.2438,21292,36700
232566,0.7395,12240,41500
232609,0.6378,36620,43600
232672,0.9948,30635,37200
232681,0.7445,11630,51400
232706,0.9055,29780,53600
232937,0.8549,8738,35800
232982,0.8464,9750,43700
233277,0.812,10081,43000
233295,0.614,38730,49100
233301,0.8361,36770,39700
233338,0.4232,7140,33500
233374,0.3248,49420,64500
233408,0.2727,15849,51700
233426,0.7304,41429,44700
233541,0.8802,31322,45800
233611,0.4532,14900,36000
233718,0.9305,36425,38200
233897,0.7771,9539,38400
233921,0.7087,12852,62500
234030,0.8115,13130,44000
234076,0.2986,16412,61200
234085,0.5095,17492,65700
234155,0.9448,8472,35200
234164,0.4099,17034,32000
234173,0.8996,35610,40700
234207,0.2358,48267,76100
234827,0.7971,7719,46500
235024,0.5972,38820,29100
235097,0.9548,6951,43100
235167,0.9748,7414,33200
235316,0.6729,39730,56100
236133,0.9339,29200,41300
236230,0.7682,39450,49400
236328,0.789,46552,52700
236452,0.9531,34356,47800
236577,0.8728,38940,49100
236595,0.7363,41265,56500
236896,0.6205,26982,46400
236939,0.7204,11041,50600
236948,0.4535,10753,57700
237011,0.8312,7903,45800
237057,0.5108,47862,51300
237066,0.8857,40562,42100
237118,0.4138,25350,40400
237136,0.5185,14000,26700
237181,0.6456,27696,40400
237215,0.8331,6408,26600
237312,0.5186,29900,40800
237330,0.8115,7238,32300
237358,0.5046,28842,37400
237367,0.6496,6950,33000
237385,0.6945,7344,33800
237525,0.8943,7154,35600
237640,0.6355,20460,37200
237792,0.9191,7170,39700
237899,0.9627,6996,29800
237932,0.717,7038,36400
237950,0.527,6648,45800
237969,0.7728,29752,43600
238032,0.7612,7992,45800
238078,0.9324,28110,46200
238193,0.8022,26932,38800
238324,0.8913,20500,58600
238333,0.6986,47060,42400
238430,0.8152,28212,48500
238458,0.7156,30388,44200
238476,0.6973,40265,44700
238616,0.6335,27900,42800
238661,0.7587,27530,43300
238980,0.554,26560,42800
239017,0.6298,44844,44100
239071,0.6809,14260,33000
239080,0.7719,28280,41700
239105,0.8434,38470,62600
239309,0.6074,35020,33300
239318,0.6631,37980,71300
239390,0.5631,28380,40000
239512,0.5401,33432,33700
239628,0.6526,39142,45500
239716,0.8139,35381,46400
239743,0.5489,26340,37600
240055,0.7544,5159,36000
240107,0.6254,26150,43200
240189,0.6935,7650,42600
240268,0.78,8812,46200
240277,0.7313,7878,40800
240329,0.7424,9091,48000
240338,0.9027,27984,41300
240365,0.6502,7544,42700
240374,0.6246,7367,39900
240392,0.839,13390,37800
240417,0.884,9395,45100
240426,0.7611,8088,36700
240444,0.5262,10488,56200
240453,0.7329,9493,44200
240462,0.8033,7484,47300
240471,0.7215,7981,40900
240480,0.8142,8159,40200
240727,0.9508,5055,47300
241191,0.9865,6850,20300
241225,0.4487,6220,19600
241331,0.6349,7221,30200
241395,0.9731,5148,18500
241410,0.9768,5250,18500
241720,0.9551,2370,24400
241766,0.7091,3370,15100
241951,0.8352,3462,16000
242042,0.8537,1125,20200
242556,0.7844,1105,20200
242565,0.9689,1130,20200
242583,0.9757,1105,20200
242617,0.691,4962,19800
242626,0.4664,5654,19800
242635,0.4647,5082,19800
242644,0.4162,5764,19800
242653,0.165,7302,19800
242662,0.5834,5084,19800
242680,0.723,5102,19800
242699,0.4902,5764,19800
242705,0.4266,5082,19800
242972,0.648,6495,17400
243443,0.5269,6000,20200
243568,0.76,10470,29100
243586,0.9961,5148,18500
243638,0.7393,4750,19500
243665,0.9195,5235,32000
243744,0.0481,47940,94000
243780,0.5597,10002,55100
243832,0.699,5940,18700
244437,0.529,3261,34300
245652,0.6275,50878,33500
247649,0.3616,52650,23600
248846,0.3893,31760,37200
248934,0.7111,14775,34600
250027,0.9038,9744,21500
260813,0,19286,29400
260992,0.7794,17475,29600
363934,0.851,21064,46400
366711,0.5184,7383,47300
367884,0.6015,13700,37100
368452,0.5062,17800,26800
376321,0.7025,6700,17700
377555,0.803,10690,57700
377564,0.8381,10831,57700
382504,0.885,14320,27500
385619,0.7436,16400,42100
386153,0.8198,8590,17800
386472,0.8,13830,37800
392840,0.97,23700,36500
398130,0.44,15688,41600
399869,0.9222,17335,29800
407009,0.7786,9886,47700
407328,1,13390,37800
408729,1,9744,19400
409698,0.3524,6379,44800
414823,0.8147,30746,38800
417734,0.381,17580,49300
417752,0.9048,9120,19600
417886,0.7037,9918,32500
417910,1,14310,53900
420574,0.7609,9886,47700
421832,0.8802,16940,28400
421841,0.9429,31200,30400
426314,0.6275,8760,66200
430485,0.74,27700,27500
430810,0.4456,25780,25200
430883,0.4024,9975,32100
431600,0.9375,14912,51000
433004,1,21058,34800
433174,0.3095,12192,50000
433536,0.9756,13390,37800
433660,0.5615,6118,42100
436818,0.5821,12024,58400
436827,0.624,12024,58400
436836,0.5738,12034,58400
439288,0.8521,30746,38800
439455,0.5952,25580,34900
439701,0.4831,13650,39100
440828,0.6584,9123,49600
441487,0.7143,15586,26600
441937,0.7384,6547,49800
442356,0.571,25510,54300
443331,1,33675,54900
443410,0.5332,29000,80200
445267,0.2353,5400,35400
445692,0.8239,24750,69400
445708,0.8174,30746,38800
446048,0.399,19128,32800
447263,0.4531,15698,27800
448309,0.6429,9680,43200
448840,0.4295,5821,43500
448886,0.767,10370,47700
449931,0.4474,10325,41800
451671,0.378,5587,43500
454227,0.7742,19230,58400
454236,0.7917,19230,58400
454245,0.8,19230,58400
456959,0.6612,13232,51900
457022,1,13390,37800
457129,0.6667,19230,58400
457484,0.5556,10460,29500
458210,0.8824,33675,54900
458229,0.88,33675,54900
458432,1,16275,24700
459842,1,13390,37800
459851,1,13390,37800
460349,0.4483,14823,38800
460871,0.4444,19230,58400
466921,0.7778,19230,58400
466930,0.6667,19230,58400
468398,1,16500,24700
475732,0.5714,19230,58400
475741,0.4444,19230,58400
477039,1,25935,54900
479956,0.5753,13678,50100
482149,0.7723,8282,62300
482158,0.7066,3890,31500
482413,0.9506,19948,44100
482422,0.8772,19948,44100
482431,0.9261,19948,44100
482440,0.9412,19948,44100
482459,0.8929,19948,44100
482468,0.8649,19948,44100
482477,0.9089,19948,44100
482486,1,19948,44100
482538,0.9444,19948,44100
482547,1,19948,44100
482556,0.9468,19948,44100
482565,0.8,19948,44100
482574,0.9474,19948,44100
482583,1,19948,44100
482608,0.8929,19948,44100
482617,0.6667,19948,44100
482635,0.8846,19948,44100
482653,0.95,19948,44100
482680,0.7504,4397,41900
483124,0.6206,8234,47700
484473,0.6415,3876,56000
484905,0.6817,7848,45000
485272,1,20350,54900
